,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vila Franca do Campo,20,PT,1525672800,81,37.72,-25.43,51.8,2.24
1,Guerrero Negro,8,MX,1525674978,97,27.97,-114.04,56.37,4.72
2,Houma,48,CN,1525675389,56,35.63,111.36,70.41,2.71
3,Hilo,90,US,1525672860,83,19.71,-155.08,75.2,8.05
4,Lulea,0,SE,1525672200,60,65.58,22.15,41.0,8.05
5,Oneonta,64,US,1525675390,98,42.45,-75.06,53.04,3.38
6,Atuona,92,PF,1525675391,98,-9.8,-139.03,81.93,13.22
7,Gushikawa,75,JP,1525672800,69,26.35,127.87,82.4,19.46
8,Rikitea,80,PF,1525674979,100,-23.12,-134.97,76.71,10.31
9,Hermanus,56,ZA,1525675010,43,-34.42,19.24,62.94,4.72
10,Pisco,0,PE,1525672800,88,-13.71,-76.2,66.2,6.93
11,Eureka,90,US,1525672500,81,40.8,-124.16,53.6,3.6
12,Punta Arenas,40,CL,1525672800,75,-53.16,-70.91,46.4,4.7
13,Cape Town,75,ZA,1525672800,35,-33.93,18.42,71.6,9.17
14,Nome,1,US,1525673700,88,30.04,-94.42,64.4,1.81
15,Dondo,0,MZ,1525675410,78,-19.62,34.74,75.18,5.17
16,Vallenar,80,CL,1525675411,90,-28.58,-70.76,50.16,2.26
17,Castro,44,CL,1525675033,99,-42.48,-73.76,47.37,2.59
18,Ushuaia,8,AR,1525674989,100,-54.81,-68.31,36.84,6.96
19,San Patricio,44,PY,1525675129,92,-26.98,-56.83,68.61,3.94
20,Barrow,0,AR,1525675000,94,-38.31,-60.23,58.62,11.21
21,Luderitz,80,NA,1525675055,91,-26.65,15.16,59.34,4.38
22,Henties Bay,56,NA,1525675413,100,-22.12,14.28,62.94,9.08
23,Karpogory,92,RU,1525675413,98,64.0,44.44,41.7,3.15
24,Codrington,92,AU,1525675117,72,-28.95,153.24,67.89,4.16
25,Mahebourg,40,MU,1525672800,61,-20.41,57.7,82.4,9.17
26,Dargaville,0,NZ,1525675414,73,-35.94,173.86,57.63,9.19
27,Komsomolskiy,24,RU,1525675054,100,67.55,63.78,24.51,4.94
28,Bluff,92,AU,1525674993,99,-23.58,149.07,64.38,11.65
29,Bredasdorp,0,ZA,1525672800,93,-34.53,20.04,59.0,5.82
30,Carnarvon,0,ZA,1525675013,41,-30.97,22.13,47.91,9.19
31,Bubaque,0,GW,1525672800,78,11.28,-15.83,71.6,6.93
32,Bambanglipuro,64,ID,1525675416,63,-7.95,110.28,87.6,8.41
33,Bambous Virieux,40,MU,1525672800,61,-20.34,57.76,82.4,9.17
34,Khatanga,0,RU,1525675030,97,71.98,102.47,19.02,9.31
35,Kloulklubed,75,PW,1525672380,70,7.04,134.26,87.8,5.82
36,Ekhabi,0,RU,1525675418,100,53.51,142.97,32.7,5.95
37,Bluefield,1,US,1525673700,81,37.27,-81.22,57.2,3.36
38,Jamestown,32,AU,1525674992,29,-33.21,138.6,65.73,15.23
39,Norman Wells,20,CA,1525672800,59,65.28,-126.83,35.6,4.7
40,Busselton,0,AU,1525675036,100,-33.64,115.35,64.74,6.62
41,Albany,75,US,1525673640,100,42.65,-73.75,53.6,6.73
42,Purwodadi,12,ID,1525675421,68,-7.08,110.92,91.11,4.16
43,Hithadhoo,80,MV,1525675001,100,-0.6,73.08,82.2,5.95
44,Aripuana,24,BR,1525675422,94,-9.17,-60.63,74.01,1.81
45,Akdepe,0,TM,1525672800,25,42.05,59.39,66.2,16.11
46,Arraial do Cabo,76,BR,1525675005,100,-22.97,-42.02,70.5,6.96
47,Totma,20,RU,1525675423,83,59.98,42.76,54.3,8.52
48,Thompson,20,CA,1525672800,65,55.74,-97.86,46.4,3.15
49,Erenhot,0,CN,1525675424,41,43.65,111.97,78.87,5.73
50,Xai-Xai,44,MZ,1525675424,98,-25.04,33.64,73.74,7.52
51,Salalah,0,OM,1525672200,70,17.01,54.1,87.8,5.82
52,Ponta do Sol,8,BR,1525674984,91,-20.63,-46.0,61.32,5.28
53,Sao Joao da Barra,68,BR,1525675425,100,-21.64,-41.05,73.11,4.5
54,Beringovskiy,68,RU,1525675035,98,63.05,179.32,23.7,16.24
